Time,State,Wages and salaries,Income,Industry
Jun-2019,NSW,3800,41948,"Electricity, gas, water and waste services"
Jun-2020,NSW,3810,40623,"Electricity, gas, water and waste services"
Jun-2021,NSW,4053,39716,"Electricity, gas, water and waste services"
Jun-2022,NSW,4307,44063,"Electricity, gas, water and waste services"
Jun-2023,NSW,4624,50190,"Electricity, gas, water and waste services"
Jun-2019,VIC,2922,36961,"Electricity, gas, water and waste services"
Jun-2020,VIC,3001,37723,"Electricity, gas, water and waste services"
Jun-2021,VIC,3068,36462,"Electricity, gas, water and waste services"
Jun-2022,VIC,3156,37928,"Electricity, gas, water and waste services"
Jun-2023,VIC,3439,43027,"Electricity, gas, water and waste services"
Jun-2019,QL,2632,31059,"Electricity, gas, water and waste services"
Jun-2020,QL,2938,30266,"Electricity, gas, water and waste services"
Jun-2021,QL,2991,30091,"Electricity, gas, water and waste services"
Jun-2022,QL,3165,34439,"Electricity, gas, water and waste services"
Jun-2023,QL,3442,37864,"Electricity, gas, water and waste services"
Jun-2019,SA,798,11239,"Electricity, gas, water and waste services"
Jun-2020,SA,869,11317,"Electricity, gas, water and waste services"
Jun-2021,SA,829,10457,"Electricity, gas, water and waste services"
Jun-2022,SA,841,10378,"Electricity, gas, water and waste services"
Jun-2023,SA,850,11323,"Electricity, gas, water and waste services"
Jun-2019,WA,1255,12440,"Electricity, gas, water and waste services"
Jun-2020,WA,1357,12468,"Electricity, gas, water and waste services"
Jun-2021,WA,1473,12951,"Electricity, gas, water and waste services"
Jun-2022,WA,1612,13898,"Electricity, gas, water and waste services"
Jun-2023,WA,1632,14627,"Electricity, gas, water and waste services"
Jun-2019,TAS,402,3010,"Electricity, gas, water and waste services"
Jun-2020,TAS,426,2867,"Electricity, gas, water and waste services"
Jun-2021,TAS,448,2835,"Electricity, gas, water and waste services"
Jun-2022,TAS,445,2693,"Electricity, gas, water and waste services"
Jun-2023,TAS,454,2949,"Electricity, gas, water and waste services"
Jun-2019,NT,181,1279,"Electricity, gas, water and waste services"
Jun-2020,NT,176,1264,"Electricity, gas, water and waste services"
Jun-2021,NT,174,1215,"Electricity, gas, water and waste services"
Jun-2022,NT,190,1376,"Electricity, gas, water and waste services"
Jun-2023,NT,182,1323,"Electricity, gas, water and waste services"
