Time,State,Population,Gender
Mar-2019,NSW,3991886,Male
Jun-2019,NSW,3999452,Male
Sep-2019,NSW,4011787,Male
Dec-2019,NSW,4019498,Male
Mar-2020,NSW,4031001,Male
Jun-2020,NSW,4030710,Male
Sep-2020,NSW,4025030,Male
Dec-2020,NSW,4022460,Male
Mar-2021,NSW,4022559,Male
Jun-2021,NSW,4025393,Male
Sep-2021,NSW,4019892,Male
Dec-2021,NSW,4026436,Male
Mar-2022,NSW,4044454,Male
Jun-2022,NSW,4059763,Male
Sep-2022,NSW,4080692,Male
Dec-2022,NSW,4101258,Male
Mar-2023,NSW,4128956,Male
Jun-2023,NSW,4150653,Male
Sep-2023,NSW,4178228,Male
Dec-2023,NSW,4194882,Male
Mar-2019,VIC,3227178,Male
Jun-2019,VIC,3236531,Male
Sep-2019,VIC,3251565,Male
Dec-2019,VIC,3262240,Male
Mar-2020,VIC,3274653,Male
Jun-2020,VIC,3273674,Male
Sep-2020,VIC,3261201,Male
Dec-2020,VIC,3248276,Male
Mar-2021,VIC,3242006,Male
Jun-2021,VIC,3237594,Male
Sep-2021,VIC,3241133,Male
Dec-2021,VIC,3247744,Male
Mar-2022,VIC,3266069,Male
Jun-2022,VIC,3277761,Male
Sep-2022,VIC,3298492,Male
Dec-2022,VIC,3322289,Male
Mar-2023,VIC,3350744,Male
Jun-2023,VIC,3371933,Male
Sep-2023,VIC,3397332,Male
Dec-2023,VIC,3415036,Male
Mar-2019,QL,2512158,Male
Jun-2019,QL,2521333,Male
Sep-2019,QL,2531632,Male
Dec-2019,QL,2540680,Male
Mar-2020,QL,2552655,Male
Jun-2020,QL,2558538,Male
Sep-2020,QL,2562449,Male
Dec-2020,QL,2568499,Male
Mar-2021,QL,2576494,Male
Jun-2021,QL,2585543,Male
Sep-2021,QL,2594946,Male
Dec-2021,QL,2607380,Male
Mar-2022,QL,2623154,Male
Jun-2022,QL,2635789,Male
Sep-2022,QL,2650221,Male
Dec-2022,QL,2667392,Male
Mar-2023,QL,2687034,Male
Jun-2023,QL,2704854,Male
Sep-2023,QL,2723348,Male
Dec-2023,QL,2738033,Male
Mar-2019,SA,871205,Male
Jun-2019,SA,873494,Male
Sep-2019,SA,876599,Male
Dec-2019,SA,878768,Male
Mar-2020,SA,883328,Male
Jun-2020,SA,884465,Male
Sep-2020,SA,885335,Male
Dec-2020,SA,886475,Male
Mar-2021,SA,888690,Male
Jun-2021,SA,891067,Male
Sep-2021,SA,890495,Male
Dec-2021,SA,892265,Male
Mar-2022,SA,897209,Male
Jun-2022,SA,900132,Male
Sep-2022,SA,904184,Male
Dec-2022,SA,907560,Male
Mar-2023,SA,913149,Male
Jun-2023,SA,916338,Male
Sep-2023,SA,920438,Male
Dec-2023,SA,922749,Male
Mar-2019,WA,1326451,Male
Jun-2019,WA,1331167,Male
Sep-2019,WA,1338200,Male
Dec-2019,WA,1345064,Male
Mar-2020,WA,1353580,Male
Jun-2020,WA,1357131,Male
Sep-2020,WA,1360726,Male
Dec-2020,WA,1364994,Male
Mar-2021,WA,1370712,Male
Jun-2021,WA,1376317,Male
Sep-2021,WA,1378333,Male
Dec-2021,WA,1383814,Male
Mar-2022,WA,1390844,Male
Jun-2022,WA,1398351,Male
Sep-2022,WA,1409075,Male
Dec-2022,WA,1420400,Male
Mar-2023,WA,1435376,Male
Jun-2023,WA,1446352,Male
Sep-2023,WA,1459562,Male
Dec-2023,WA,1469728,Male
Mar-2019,TAS,270220,Male
Jun-2019,TAS,271197,Male
Sep-2019,TAS,272225,Male
Dec-2019,TAS,273893,Male
Mar-2020,TAS,275151,Male
Jun-2020,TAS,275981,Male
Sep-2020,TAS,276962,Male
Dec-2020,TAS,278353,Male
